,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,,,,,,,,,,,,,,
,27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),27 July 2026 (Odd Mon),,,,,,,,,,,,,,
,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,,
,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,,,,,,,,,,
NA,8:45 - 10:35,"ENGLISH LANGUAGE SYLL A 
 PAPER 1","ENGLISH LANGUAGE SYLL A 
 PAPER 1","ENGLISH LANGUAGE SYLL A 
 PAPER 1",1H 50M,"4ELJ -A505
4ELK-A505
4ELL-A505",A312,11:00,2H 15M,,11:50 - 13:40,"ENGLISH LANGUAGE SYLL A
 PAPER 2","ENGLISH LANGUAGE SYLL A
 PAPER 2","ENGLISH LANGUAGE SYLL A
 PAPER 2",1H 50M,"4ELJ -A505
4ELK-A505
4ELL-A505",A312,11:50  - 14:05,2H 15M,,,,,,,,,,,
NT,8:45 - 10:05,"ENGLISH LANGUAGE PAPER SYLL T  PAPER 1  
(eASSESSMENT)
","ENGLISH LANGUAGE PAPER SYLL T  PAPER 1  
(eASSESSMENT)
","ENGLISH LANGUAGE PAPER SYLL T  PAPER 1  
(eASSESSMENT)
",1H 20M,"4ELP - A502
4ELP - A503",NO AA ROOM,10:20,1H 35M,,11:10 - 12:30,ENGLISH LANGUAGE PAPER SYLL T PAPER 2,ENGLISH LANGUAGE PAPER SYLL T PAPER 2,ENGLISH LANGUAGE PAPER SYLL T PAPER 2,1H 20M,4ELP- A504,A312,11:10-12:45,1H 35M,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,
,,1,2,3,4,5,6,7,8,,,8,9,10,11,12,13,14,15,16,17,,,,,,,,,
,,08:30,08:50,09:10,09:30,09:50,10:10,10:30,10:50,,,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,,,,,,,,,
,,08:50,09:10,09:30,09:50,10:10,10:30,10:50,11:10,,,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,,,,,,,,,
,A505 - 4ELJ + 4ELK,Koh Beng Chuan,Josephine Phua Poi Yeok,Josephine Phua Poi Yeok,Josephine Phua Poi Yeok,Koh Beng Chuan,Koh Beng Chuan,"Koh Beng Chuan 
(End paper at 1035",,,A505 - 4ELJ + 4ELK,,,Chong Chun Lian Esther,Chong Chun Lian Esther,Marek Otreba,Marek Otreba,"Cheong Wei, Paul Matthew","Cheong Wei, Paul Matthew","Cheong Wei, Paul Matthew - End paper",,,,,,,,,,
