,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,,,,,,,,,,,,,,,,
,3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),3 Aug 2026 (Even Mon),,,,,,,,,,,,,,,,
,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,,,
,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,,,,,,,,,,,
NA,8:45 - 10:45,MATHEMATICS SYLLA PAPER 2,MATHEMATICS SYLLA PAPER 2,MATHEMATICS SYLLA PAPER 2,2H,"A505 - 4MAK
A505 - 4MAL
A505 - 4MAJ",A312,11:15,2H 30M,,,11:50 - 12:50,PRINCIPLES OF ACCOUNTS PAPER 1,PRINCIPLES OF ACCOUNTS PAPER 1,PRINCIPLES OF ACCOUNTS PAPER 1,1H,"A505 - 4ACJ
A505 - 4ACK",A312,12:10- 13:25,1H 15M,,,,,,,,,,,,
NT,8:45 - 10:15,MATHEMATICS SYLL T PAPER 2,MATHEMATICS SYLL T PAPER 2,MATHEMATICS SYLL T PAPER 2,1H 30M,A504 - 4MAP,A312,10:40,1H 55M,,,,NO PAPER,NO PAPER,NO PAPER,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,,,10,11,12,13,14,15,,,,,,,,,,,,,,
,,08:30,08:50,09:10,09:30,09:50,10:10,10:30,10:50,11:10,,,11:30,11:50,12:10,12:30,12:50,13:10,,,,,,,,,,,,,,
