,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,,,,,,,,,,,,,,,,
,31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),31 July 2026 (Odd Fri),,,,,,,,,,,,,,,,
,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,,,,
,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,,,,,,,,,,,,
NA,8:45 - 10:30,"HUMANITIES (SOCIAL STUDIES) 
PAPER 1) 
(eASSESSMENT)","HUMANITIES (SOCIAL STUDIES) 
PAPER 1) 
(eASSESSMENT)","HUMANITIES (SOCIAL STUDIES) 
PAPER 1) 
(eASSESSMENT)",1H 45M,"A505 -4GSJ
A505 -4HSJ",A312,10:55,2H 10M,,11:50 - 12:20,"CHINESE LANGUAGE PAPER 3 
MALAY LANGUAGE PAPER 3 
TAMIL LANGUAGE PAPER 3 
(LISTENING COMPREHENSION)","CHINESE LANGUAGE PAPER 3 
MALAY LANGUAGE PAPER 3 
TAMIL LANGUAGE PAPER 3 
(LISTENING COMPREHENSION)","CHINESE LANGUAGE PAPER 3 
MALAY LANGUAGE PAPER 3 
TAMIL LANGUAGE PAPER 3 
(LISTENING COMPREHENSION)",30M,"4CLJ
4CLK
4MLJ
4TLJ",No AA room,12:20,NO EXTRA TIME,,,,,,,,,,,,,
NT,8:45 - 9:45,SCIENCE SYLL T PAPER 2,SCIENCE SYLL T PAPER 2,SCIENCE SYLL T PAPER 2,1H,A504 - 4SCP,A312,10:00,1H 15M,,11:10 - 11:40,BASIC CHINESE LANGUAGE PAPER 1 BASIC MALAY LANGUAGE PAPER 1 BASIC TAMIL LANGUAGE PAPER 1 (eASSESSMENT),BASIC CHINESE LANGUAGE PAPER 1 BASIC MALAY LANGUAGE PAPER 1 BASIC TAMIL LANGUAGE PAPER 1 (eASSESSMENT),BASIC CHINESE LANGUAGE PAPER 1 BASIC MALAY LANGUAGE PAPER 1 BASIC TAMIL LANGUAGE PAPER 1 (eASSESSMENT),30M,"4TLP
4MLP
4CLP
",No AA room,11:10-11:45,35M,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,Session 1,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,,,8,9,10,11,12,,,,,,,,,,,,,,,,
,,08:30,08:50,09:10,09:30,09:50,10:10,10:30,10:50,,,10:50,11:10,11:30,11:50,12:10,,,,,,,,,,,,,,,,
