,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,4N Prelim Exam Invigilation Schedule 2026,,,,,,,,,,,,,,,,
,4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),4 Aug 2026 (Even Tues),,,,,,,,,,,,,,,,
,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,,,,
,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,Time,Subject,Subject,Subject,Duration,Exam Venue,AA ROOM,"END TIME 
(AA ROOM)",Extra Time Duration,,,,,,,,,,,,,
NA,8:45 - 10:00,SCIENCE (CHEM) PAPER 3 AND 4,SCIENCE (CHEM) PAPER 3 AND 4,SCIENCE (CHEM) PAPER 3 AND 4,1H 15M,"A505 - 4SCJ
A505 - 4SCK",A312,10:15,1H 30M,,11:50 -13:50,PRINCIPLES OF ACCOUNTS PAPER 2,PRINCIPLES OF ACCOUNTS PAPER 2,PRINCIPLES OF ACCOUNTS PAPER 2,2H,"4ACJ-A505
4ACK-A505",A312,11:50 -14:20,2H 30M,,,,,,,,,,,,,
NT,8:45 - 10:00,"SCIENCE SYLL T PAPER 1 
(eASSESSMENT)","SCIENCE SYLL T PAPER 1 
(eASSESSMENT)","SCIENCE SYLL T PAPER 1 
(eASSESSMENT)",1H 15M,"A502 - 4SCP
A503 - 4SCP
",NO AA ROOM,10:15,1H 30M,,11:10 - 12:25,COMPUTER APPLICATIONS PAPER 1,COMPUTER APPLICATIONS PAPER 1,COMPUTER APPLICATIONS PAPER 1,1H 15M,4CPP- A504,A311,11:10 - 12:40,1H 30M,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,SESSION 1,,,,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,SESSION 2,,,,,,,,,,
,,1,2,3,4,5,6,,,,,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,
,,08:30,08:50,09:10,09:30,09:50,10:10,,,,,10:50,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,,,,,,,,,,
,,08:50,09:10,09:30,09:50,10:10,10:30,,,,,11:10,11:30,11:50,12:10,12:30,12:50,13:10,13:30,13:50,14:10,14:30,,,,,,,,,,
,A505 -4SCJ,Ang Chi Sen Jason,Ang Chi Sen Jason,Jenny Loong Choo Juan,Ratish Balakrishnan,Ratish Balakrishnan,,,,,A505 -4ACJ,,,Raudzah Bte Osman,Leow Mei Hui,Liang Sea Fong,Soo Lik Lern Winston,Soo Lik Lern Winston,Soo Lik Lern Winston,Koh Beng Chuan,,,,,,,,,,,,
,A505 -4SCK,Koh Beng Chuan,Koh Beng Chuan,Koh Beng Chuan,"Cheong Chee Ngai, Caleb","Cheong Chee Ngai, Caleb",,,,,A505 -4ACK,,,Kong Hon Ein Aaron,Kong Hon Ein Aaron,Kong Hon Ein Aaron,Liang Sea Fong,Liang Sea Fong,"Cheong Wei, Paul Matthew","Cheong Wei, Paul Matthew",,,,,,,,,,,,
